route_id,service_id,shape_id,trip_headsign,trip_id
10004,4,10004,,TO4D70001.1.10004
10004,4,10004,,TO4D70001.10.10004
10004,4,10004,,TO4D70001.11.10004
10004,4,10004,,TO4D70001.12.10004
10004,4,10004,,TO4D70001.13.10004
10004,4,10004,,TO4D70001.14.10004
10004,4,10004,,TO4D70001.15.10004
10004,4,10004,,TO4D70001.16.10004
10004,4,10004,,TO4D70001.17.10004
10004,4,10004,,TO4D70001.18.10004
10004,4,10004,,TO4D70001.19.10004
10004,4,10004,,TO4D70001.2.10004
10004,4,10004,,TO4D70001.3.10004
10004,4,10004,,TO4D70001.4.10004
10004,4,10004,,TO4D70001.5.10004
10004,4,10004,,TO4D70001.6.10004
10004,4,10004,,TO4D70001.7.10004
10004,4,10004,,TO4D70001.8.10004
10004,4,10004,,TO4D70001.9.10004
10004,4,10004,,TO4D70002.1.10004
10004,4,10004,,TO4D70002.10.10004
10004,4,10004,,TO4D70002.11.10004
10004,4,10004,,TO4D70002.12.10004
10004,4,10004,,TO4D70002.13.10004
10004,4,10004,,TO4D70002.14.10004
10004,4,10004,,TO4D70002.15.10004
10004,4,10004,,TO4D70002.16.10004
10004,4,10004,,TO4D70002.17.10004
10004,4,10004,,TO4D70002.18.10004
10004,4,10004,,TO4D70002.19.10004
10004,4,10004,,TO4D70002.2.10004
10004,4,10004,,TO4D70002.3.10004
10004,4,10004,,TO4D70002.4.10004
10004,4,10004,,TO4D70002.5.10004
10004,4,10004,,TO4D70002.6.10004
10004,4,10004,,TO4D70002.7.10004
10004,4,10004,,TO4D70002.8.10004
10004,4,10004,,TO4D70002.9.10004
10004,4,10004,,TO4D70003.1.10004
10004,4,10004,,TO4D70003.10.10004
10004,4,10004,,TO4D70003.11.10004
10004,4,10004,,TO4D70003.12.10004
10004,4,10004,,TO4D70003.13.10004
10004,4,10004,,TO4D70003.14.10004
10004,4,10004,,TO4D70003.15.10004
10004,4,10004,,TO4D70003.16.10004
10004,4,10004,,TO4D70003.17.10004
10004,4,10004,,TO4D70003.18.10004
10004,4,10004,,TO4D70003.19.10004
10004,4,10004,,TO4D70003.2.10004
10004,4,10004,,TO4D70003.3.10004
10004,4,10004,,TO4D70003.4.10004
10004,4,10004,,TO4D70003.5.10004
10004,4,10004,,TO4D70003.6.10004
10004,4,10004,,TO4D70003.7.10004
10004,4,10004,,TO4D70003.8.10004
10004,4,10004,,TO4D70003.9.10004
10004,4,10004,,TO4D70004.1.10004
10004,4,10004,,TO4D70004.10.10004
10004,4,10004,,TO4D70004.11.10004
10004,4,10004,,TO4D70004.12.10004
10004,4,10004,,TO4D70004.13.10004
10004,4,10004,,TO4D70004.14.10004
10004,4,10004,,TO4D70004.15.10004
10004,4,10004,,TO4D70004.16.10004
10004,4,10004,,TO4D70004.2.10004
10004,4,10004,,TO4D70004.3.10004
10004,4,10004,,TO4D70004.4.10004
10004,4,10004,,TO4D70004.5.10004
10004,4,10004,,TO4D70004.6.10004
10004,4,10004,,TO4D70004.7.10004
10004,4,10004,,TO4D70004.8.10004
10004,4,10004,,TO4D70004.9.10004
10004,1,10004,,TO4D80001.1.10004
10004,1,10004,,TO4D80001.10.10004
10004,1,10004,,TO4D80001.11.10004
10004,1,10004,,TO4D80001.12.10004
10004,1,10004,,TO4D80001.13.10004
10004,1,10004,,TO4D80001.14.10004
10004,1,10004,,TO4D80001.15.10004
10004,1,10004,,TO4D80001.16.10004
10004,1,10004,,TO4D80001.2.10004
10004,1,10004,,TO4D80001.3.10004
10004,1,10004,,TO4D80001.4.10004
10004,1,10004,,TO4D80001.5.10004
10004,1,10004,,TO4D80001.6.10004
10004,1,10004,,TO4D80001.7.10004
10004,1,10004,,TO4D80001.8.10004
10004,1,10004,,TO4D80001.9.10004
10004,1,10004,,TO4D80002.1.10004
10004,1,10004,,TO4D80002.10.10004
10004,1,10004,,TO4D80002.11.10004
10004,1,10004,,TO4D80002.12.10004
10004,1,10004,,TO4D80002.13.10004
10004,1,10004,,TO4D80002.14.10004
10004,1,10004,,TO4D80002.15.10004
10004,1,10004,,TO4D80002.2.10004
10004,1,10004,,TO4D80002.3.10004
10004,1,10004,,TO4D80002.4.10004
10004,1,10004,,TO4D80002.5.10004
10004,1,10004,,TO4D80002.6.10004
10004,1,10004,,TO4D80002.7.10004
10004,1,10004,,TO4D80002.8.10004
10004,1,10004,,TO4D80002.9.10004
10004,1,10004,,TO4D80003.1.10004
10004,1,10004,,TO4D80003.10.10004
10004,1,10004,,TO4D80003.11.10004
10004,1,10004,,TO4D80003.12.10004
10004,1,10004,,TO4D80003.13.10004
10004,1,10004,,TO4D80003.14.10004
10004,1,10004,,TO4D80003.15.10004
10004,1,10004,,TO4D80003.16.10004
10004,1,10004,,TO4D80003.17.10004
10004,1,10004,,TO4D80003.18.10004
10004,1,10004,,TO4D80003.2.10004
10004,1,10004,,TO4D80003.3.10004
10004,1,10004,,TO4D80003.4.10004
10004,1,10004,,TO4D80003.5.10004
10004,1,10004,,TO4D80003.6.10004
10004,1,10004,,TO4D80003.7.10004
10004,1,10004,,TO4D80003.8.10004
10004,1,10004,,TO4D80003.9.10004
10004,1,10004,,TO4D80004.1.10004
10004,1,10004,,TO4D80004.10.10004
10004,1,10004,,TO4D80004.11.10004
10004,1,10004,,TO4D80004.12.10004
10004,1,10004,,TO4D80004.13.10004
10004,1,10004,,TO4D80004.14.10004
10004,1,10004,,TO4D80004.15.10004
10004,1,10004,,TO4D80004.16.10004
10004,1,10004,,TO4D80004.17.10004
10004,1,10004,,TO4D80004.18.10004
10004,1,10004,,TO4D80004.19.10004
10004,1,10004,,TO4D80004.2.10004
10004,1,10004,,TO4D80004.20.10004
10004,1,10004,,TO4D80004.21.10004
